Вопрос,Эталонный ответ преподавателя,Ответ студента,Оценка
Фундаментальное свойство статистического обучения,"Компромисс между смещением и дисперсией (bias-variance tradeoff) - ключевое свойство, определяющее обобщающую способность моделей",Bias-variance tradeoff,3
"Как понять, что уместно применять подход «k-means» в кластеризации?","K-means хорошо работает, когда кластеры примерно сферические, похожи по размеру и различаются по центрам. Метод чувствителен к масштабу признаков и выбросам, поэтому подходит не для любых данных.","Ну вот, смысл в том, что k-means хорошо работает, когда кластеры примерно сферические, похожи по размеру и различаются по центрам; метод чувствителен к масштабу признаков и выбросам, поэтому подходит не для любых данных, короче. В общем-то так.",5
"С какими проблемами сталкиваются при применении машинное обучение, и как их решают?","Машинное обучение используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Машинное обучение применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.",5
Как работает механизм «broadcast join» в Spark SQL?,"Broadcast join ускоряет соединение, когда одна из таблиц достаточно мала и её можно разослать на все узлы. Тогда не нужно дорогое перераспределение обеих сторон join по сети.","Смысл в том, что broadcast join ускоряет соединение, когда одна из таблиц достаточно мала и её можно разослать на все узлы; тогда не нужно дорогое перераспределение обеих сторон join по сети.",5
Как классификация данных применяется для автоматизации рутинных процессов?,"Классификация данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.",5
Как выполняется преобразование данных и зачем нужна их очистка?,"Преобразование включает нормализацию, агрегацию, обогащение. Очистка нужна для удаления шума, исправления ошибок, обработки пропусков для повышения качества моделей.",Подготовка данных к использованию.,2
"Как распознать проблемы, которые вызывает ситуация «квадратичная сложность attention по длине последовательности» в трансформерах?","Классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими. Именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.","Эээ, классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими, короче. Примерно так.",4
В какой ситуации «RNN» предпочтительнее «трансформеры» в задачах обработки последовательностей?,"Трансформеры лучше параллелятся, потому что обрабатывают всю последовательность сразу, а не шаг за шагом, как RNN. Это ускоряет обучение и обычно улучшает захват дальних зависимостей.","Эээ, вроде бы, трансформеры удобнее RNN за счёт параллельной обработки последовательности. Ну и там ещё детали есть, не помню точно.",3
Какую роль в ETL-пайплайнах играет фактор «идемпотентность»?,"Идемпотентность ETL важна, потому что пайплайн должен безопасно перезапускаться после сбоя без дублирования и порчи данных. Повторный запуск должен приводить к тому же состоянию, что и один корректный запуск.","Смысл в том, что идемпотентность ETL важна, потому что пайплайн должен безопасно перезапускаться после сбоя без дублирования и порчи данных; повторный запуск должен приводить к тому же состоянию, что и один корректный запуск.",5
Сравнительный анализ алгоритмов кластеризации,"Алгоритмы кластеризации сравниваются по масштабируемости, чувствительности к шуму, способности находить кластеры сложной формы и вычислительной сложности","K-means (O(n), сферические кластеры), DBSCAN (обнаружение шума, произвольные формы), Hierarchical (O(n?), иерархическая структура), GMM (вероятностный подход)",4
Что такое Apache Parquet?,Колоночный формат хранения данных с эффективным сжатием и кодированием.,"Формат файлов для хранения структурированных данных, который хранит данные по колонкам а не по строкам, что улучшает производительность аналитических запросов и сжатие.",4
Какие способы визуализации корреляции были изучены в курсе Big Data?,"Основные способы: корреляционная матрица, тепловая карта (heatmap), диаграмма рассеяния (scatter plot), графики зависимости и парные диаграммы (pairplot).",Графики и таблицы.,2
Для какого типа данных особенно полезно применять подход «выбор метрики под бизнес-стоимость ошибки» при оценке регрессионных моделей?,"Метрику для регрессии выбирают не только по математике, но и по цене разных типов ошибок в бизнесе. Если крупные промахи особенно опасны, имеет смысл использовать MSE или RMSE, а не только MAE.","В общем, метрику регрессии нужно выбирать с учётом стоимости ошибки в задаче, типа. Я не уверен, но, короче, что-то в этом роде.",3
Почему в линейных моделях важен следующий фактор: «L2-регуляризация при мультиколлинеарности»?,"L2-регуляризация помогает при мультиколлинеарности, потому что не даёт коэффициентам раздуваться из-за сильной корреляции признаков. В результате модель становится устойчивее и лучше переносится на новые данные.","По сути, l2-регуляризация позволяет при мультиколлинеарности, потому что не даёт коэффициентам раздуваться из-за сильной корреляции признаков; в результате модель становится устойчивее и лучше переносится на новые данные.",5
Что такое нормализация данных?,"Нормализация — это преобразование данных в единую шкалу, чтобы устранить различия в масштабе признаков. Пример: приведение значений к диапазону [0,1].",Это когда данные выравнивают.,3
В чем преимущества применения машинное обучение по сравнению с традиционными методами?,"Машинное обучение используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Машинное обучение применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.",4
Зачем в ансамблевых методах нужен элемент «разнообразие базовых моделей»?,"Разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении. Чем менее коррелированы их ошибки, тем сильнее ансамбль.","Разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении.",4
Как обеспечить воспроизводимость экспериментов в ML и data science?,"Version control для кода и данных, фиксация seed значений, контейнеризация (Docker), detailed logging, MLflow для отслеживания экспериментов.","Сохранять код, данные и параметры экспериментов, использовать одинаковое окружение и фиксировать случайные seed'ы.",3
Как обработка потоковых данных влияет на эффективность бизнеса?,"Обработка потоковых данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.","Обработка потоковых данных широко применяется в промышленности, здравоохранении, финансах и государственных системах. Позволяет анализировать большие массивы данных, строить точные модели и улучшать эффективность процессов.",5
Каков порядок обработки данных при тестировании гипотезы о равенстве,"какие тесты должны быть пройдены, какие требования к данным выдвигаются?,""Проверяется нормальность распределения (Shapiro–Wilk), гомогенность дисперсий (Levene), после чего применяют t-тест для независимых или парных выборок. Требования: независимость наблюдений, интервал/отношение шкалы.",Нужно провести тест.,2
Метрики качества для моделей регрессии,"Для оценки регрессионных моделей применяются RMSE, MAE, MAPE и коэффициент детерминации R?","Метрики оценки включают RMSE, MAE и R?",3
Алгоритмы классификации,"Основные алгоритмы включают логистическую регрессию, деревья решений, случайный лес, метод опорных векторов и наивный байесовский классификатор","Logistic Regression, Decision Trees, Random Forest, SVM, k-NN, Naive Bayes - каждый с разными принципами работы",3
Что такое обработка данных и какие задачи оно решает?,"Обработка данных применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",5
Что означает дисперсия выборки?,Дисперсия выборки — это мера разброса значений относительно среднего. Вычисляется как среднее квадратов отклонений от выборочного среднего.,Это что-то вроде отклонения данных.,3
Как обрабатывать пропущенные значения в данных перед обучением модели?,"Зависит от природы пропусков: удаление строк если мало пропусков, импутация средним/медианой для числовых, модой для категориальных, либо использование алгоритмов, поддерживающих пропуски.","Анализировать паттерн пропусков: если MCAR - можно удалить или импутировать, если MAR/MNAR - нужно аккуратно. Для числовых: среднее, медиана, KNN импутация. Для категориальных: мода или отдельная категория. Можно также использовать алгоритмы типа XGBoost которые работают с пропусками.",5
Как организовать feature engineering для NLP задач с большими текстовыми данными?,"TF-IDF, word embeddings (Word2Vec, GloVe), contextual embeddings (BERT), character-level features, topic modeling (LDA), syntactic features (POS tagging).","TF-IDF, word embeddings, контекстные представления, тематическое моделирование, синтаксические признаки. Выбирать методы based on задачи и объема данных.",4
Какие методы используются для обработки пропущенных значений в данных?,"Удаление строк с пропусками, импутация средним/медианой, предсказание значений с помощью ML моделей, интерполяция для временных рядов, создание отдельной категории для пропусков.",Удаление или заполнение пропусков в зависимости от их количества и важности. Использование статистических методов и ML для восстановления значений.,4
NoSQL классификация хранилищ,"NoSQL базы данных классифицируются на документные хранилища, хранилища ключ-значение, колоночные базы данных и графовые базы данных в зависимости от модели данных и способа организации хранения информации","Классификация NoSQL по моделям данных: документы, пары, колонки, графы",4
Какие подходы к детекции аномалий в больших данных?,"Методы детекции аномалий включают статистические подходы, методы на основе кластеризации, изолирующие леса и нейросетевые подходы для выявления выбросов",Статистические и машинные методы для нахождения аномалий,3
"Для каких задач лучше подходит «контекстные эмбеддинги», чем «статические эмбеддинги» в представлениях текста?","Контекстные эмбеддинги меняют представление слова в зависимости от окружения, а статические дают слову один и тот же вектор во всех предложениях. Это особенно важно для многозначных слов и сложных контекстов.","Контекстные эмбеддинги меняют представление слова в зависимости от окружения, а статические дают слову один и тот же вектор во всех предложениях.",4
Как фактор «аугментация изображений» влияет на качество результата в компьютерном зрении?,Аугментация изображений увеличивает разнообразие обучающих примеров без ручной разметки новых данных и тем самым снижает переобучение. Но она должна сохранять смысл задачи и не искажать класс объекта.,"Аугментация помогает бороться с переобучением и расширять обучающую выборку. Это основная идея, хотя не вся.",3
Принципы и инструменты аналитики Big Data,"Аналитика больших данных основана на принципах распределенной обработки, использования специализированных фреймворков Hadoop и Spark, NoSQL баз данных и облачных технологий",Для больших данных используют Hadoop и Spark,3
"Как понять, что уместно применять подход «кодирование категориальных признаков» в feature engineering?","Способ кодирования категориальных признаков зависит от модели и кардинальности признака: где-то хватает one-hot, а где-то нужны target encoding или специальные алгоритмы. Неподходящее кодирование легко создаёт шум и огромную размерность.","Здесь критично, что способ кодирования категориальных признаков зависит от модели и кардинальности признака: где-то хватает one-hot, а где-то нужны target encoding или специальные алгоритмы; неподходящее кодирование легко создаёт шум и огромную размерность.",5
Что такое уровень значимости,"Уровень значимости ? представляет вероятность совершить ошибку первого рода - отвергнуть верную нулевую гипотезу, обычно устанавливается 0.05",Вероятность ошибочного отклонения нулевой гипотезы когда она на самом деле верна,2
"Какие этапы включает проект, основанный на использовании рекомендательные системы?","Рекомендательные системы используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Рекомендательные системы нужно только программистам.,2
Что такое TF-IDF?,Статистическая мера важности слова в документе относительно коллекции документов.,"TF-IDF (Term Frequency-Inverse Document Frequency) вычисляет вес термина как произведение частоты термина в документе (TF) на обратную частоту документа (IDF), показывая значимость слова в контексте коллекции.",5
Почему ситуация «слишком широкое пространство поиска» может стать проблемой в AutoML?,Слишком широкое пространство поиска в AutoML увеличивает время обучения и часто приводит к перебору бесполезных конфигураций. Поэтому пространство моделей и гиперпараметров обычно ограничивают с учётом задачи и ресурсов.,"Главная идея в том, что слишком широкое пространство поиска в AutoML увеличивает время обучения и часто приводит к перебору бесполезных конфигураций; поэтому пространство моделей и гиперпараметров обычно ограничивают с учётом задачи и ресурсов.",5
Какие подходы использовать для оптимизации памяти в Python при обработке больших данных?,"Использование генераторов, efficient data structures, memory mapping, chunk processing, удаление неиспользуемых объектов, использование специализированных библиотек.","Генераторы, оптимизированные структуры, memory mapping, чанковая обработка. Снижение потребления памяти в Python.",4
Почему результат в XGBoost зависит от фактора «регуляризация деревьев»?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,"Ну вот, «регуляризация деревьев» — это когда вот это всё используется, типа. Дальше я уже не очень помню.",2
Как модели прогнозирования используется в научных исследованиях?,"Модели прогнозирования используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Это просто работа с таблицами. Не очень полезно.,2
Для чего в системах Big Data отдельно контролируют аспект «горизонтальное масштабирование»?,"Горизонтальное масштабирование в Big Data важно, потому что объёмы данных и нагрузка часто превышают возможности одного сервера. Добавлять узлы обычно дешевле и надёжнее, чем бесконечно усиливать одну машину.","Ммм, наверное, big Data обычно требует масштабирования за счёт добавления узлов, а не только усиления одного сервера, короче. Ну и там ещё детали есть, не помню точно.",3
Как фактор «минимизация shuffle-операций» влияет на качество результата в Spark?,"Shuffle в Spark дорогой, потому что требует перераспределения данных по сети и записи промежуточных результатов. Чем меньше ненужных shuffle, тем быстрее и стабильнее работает пайплайн.","Ну вот, здесь важно, что shuffle в Spark дорогой, потому что требует перераспределения данных по сети и записи промежуточных результатов; чем меньше ненужных shuffle, тем быстрее и стабильнее работает пайплайн, ну там. Вот такой смысл.",5
Преимущества и недостатки непараметрических моделей,"Непараметрические модели гибки и не требуют предположений о распределении данных, но могут требовать больших объемов данных и вычислительных ресурсов",Гибкость без предположений о распределении и высокие вычислительные затраты,5
Как работает градиентный бустинг и чем отличается от случайного леса?,"Градиентный бустинг последовательно строит деревья, каждое следующее исправляет ошибки предыдущего, тогда как случайный лес строит деревья независимо и усредняет результат",Различия в принципах построения ансамблей деревьев,4
"Характерные черты безмасштабных сетей какова их связь с сетями тесного мира?,","""Безмасштабные сети имеют степенное распределение степеней вершин (P(k)~k^-?), содержат хабы. Сети тесного мира характеризуются малой длиной пути и высоким коэффициентом кластеризации. Обе модели встречаются в реальных системах.",Безмасштабные сети имеют степенное распределение степеней и наличие хабов сети тесного мира характеризуются высокой кластеризацией и малым средним расстоянием между вершинами.,4
Как хранилища данных применяется в современных компаниях?,"Технологии хранилища данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.","Хранилища данных применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.",4
В какой ситуации «data warehouse» предпочтительнее «data lake» в архитектуре хранения данных?,"Data lake ориентирован на гибкое хранение сырых данных, а data warehouse — на структурированную и согласованную аналитику по схемам. Архитектура Lakehouse появилась как попытка объединить эти свойства в одной платформе.","Data lake ориентирован на гибкое хранение сырых данных, а data warehouse — на структурированную и согласованную аналитику по схемам.",4
Что важно учитывать при сравнении «оконные функции» и «GROUP BY» в SQL-запросах?,"Оконные функции вычисляют агрегаты по группе строк, но не схлопывают результат до одной строки на группу, в отличие от GROUP BY. Поэтому они удобны для ранжирования, бегущих итогов и сравнений внутри группы.","Ммм, если не ошибаюсь, оконные функции сохраняют строки, а GROUP BY агрегирует их в одну запись на группу, ну там. Ну и там ещё детали есть, не помню точно.",3
Какие риски связаны с использованием машинное обучение в критически важных системах?,"Машинное обучение помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.","Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.",4
Как объяснить значимость фактора «центральная предельная теорема» в статистике и машинном обучении?,"Центральная предельная теорема объясняет, почему распределение средних по большим выборкам часто становится близким к нормальному. Это делает возможным многие интервальные оценки и классические статистические тесты.","Центральная предельная теорема объясняет, почему распределение средних по большим выборкам часто становится близким к нормальному.",4
Что меняется после применения механизма «reranking найденных фрагментов» в RAG-системах?,"Reranking найденных фрагментов в RAG помогает пересортировать результаты после быстрого первичного поиска и поднять наверх наиболее полезные документы. Это особенно важно, когда top-k содержит много приблизительно релевантных кандидатов.",Reranking найденных фрагментов в RAG помогает пересортировать результаты после быстрого первичного поиска и поднять наверх наиболее полезные документы. Именно это важно на практике.,4
Почему в Lakehouse важен следующий фактор: «единый слой данных для BI и ML»?,Единый слой данных в Lakehouse уменьшает число копий данных и расхождения между аналитикой и машинным обучением. Команды BI и ML работают с одними и теми же таблицами и метаданными.,"Здесь важно, что единый слой данных в Lakehouse уменьшает число копий данных и расхождения между аналитикой и машинным обучением; команды BI и ML работают с одними и теми же таблицами и метаданными.",5
"Как понять, что уместно применять подход «графовые базы данных» в NoSQL-хранилищах?","Графовые базы данных особенно полезны там, где важны связи между объектами: в рекомендациях, антифроде, социальных графах и маршрутизации. Когда основная ценность в обходе отношений, графовая модель выигрывает у табличной.","Графовые базы данных особенно полезны там, где важны связи между объектами: в рекомендациях, антифроде, социальных графах и маршрутизации.",4
"Как распознать проблемы, которые вызывает ситуация «утечка целевой переменной» в feature engineering?","Утечка целевой переменной возникает, когда в признаки прямо или косвенно попадает информация из будущего или из таргета, недоступная в момент предсказания. Такая модель показывает красивое качество на тесте, но проваливается в реальном использовании.","Если кратко, то утечка целевой переменной возникает, когда в признаки прямо или косвенно попадает информация из будущего или из таргета, недоступная в момент предсказания; такая модель показывает красивое качество на тесте, но проваливается в реальном использовании.",5
"Для каких задач лучше подходит «L1-регуляризация», чем «L2-регуляризация» в линейных моделях?","L1-регуляризация склонна занулять часть коэффициентов и тем самым делать модель более разреженной, а L2 обычно просто плавно уменьшает веса. Поэтому L1 чаще используют для отбора признаков, а L2 — для сглаживания модели.","Ну, «L1-регуляризация и L2-регуляризация» — это когда вот это всё используется, короче. Короче, что-то в этом роде.",2
Как выбор между «ROW_NUMBER» и «RANK» влияет на результат в SQL-запросах?,"ROW_NUMBER присваивает уникальный номер каждой строке без учёта равенства значений, а RANK оставляет одинаковый ранг при совпадениях и пропускает следующие номера. Поэтому выбор функции влияет на то, как обрабатываются ties.","ROW_NUMBER всегда нумерует строки подряд, а RANK учитывает совпадения значений.",3
Что в feature engineering даёт аспект «признаки-взаимодействия»?,"Признаки-взаимодействия помогают модели уловить эффект, который не виден по отдельным признакам, но проявляется в их комбинации. Особенно это полезно для линейных моделей с ограниченной нелинейностью.","Эээ, «признаки-взаимодействия» — это когда вот это всё используется, ну там. Ну и там ещё детали есть, не помню точно.",2
Почему в MLflow важен следующий фактор: «стадии согласования модели»?,"Стадии согласования модели в MLflow нужны, чтобы отделить экспериментальную модель от проверенной и готовой к продакшену. Такой процесс снижает риск случайно развернуть неподтверждённую версию.","Если кратко, то стадии согласования модели в MLflow нужны, чтобы отделить экспериментальную модель от проверенной и готовой к продакшену; такой процесс уменьшает риск случайно развернуть неподтверждённую версию.",5
Как механизм «multi-head attention» влияет на итоговый результат в трансформерах?,"Multi-head attention позволяет модели одновременно смотреть на разные типы связей между токенами. Отдельные головы могут фокусироваться на синтаксисе, дальних зависимостях или локальном контексте.","Ну, «multi-head attention» — это когда вот это всё используется, как бы. Короче, что-то в этом роде.",2
Как фактор «batch normalization» влияет на качество результата в глубоких нейросетях?,Batch normalization стабилизирует распределения активаций внутри сети и часто ускоряет обучение. Она также может выступать как слабая форма регуляризации за счёт шума по батчам.,Это скорее второстепенная вещь; обычно без неё тоже всё работает.,2
Когда в HDFS особенно важен аспект «репликация блоков»?,"Репликация блоков в HDFS нужна для отказоустойчивости и доступности данных при падении узлов. Даже если одна машина недоступна, данные остаются на других репликах.",Репликация блоков в HDFS нужна для отказоустойчивости и доступности данных при падении узлов.,4
В каких случаях ситуация «слишком высокая learning rate» особенно вредит качеству в XGBoost и похожих моделях?,Слишком высокая learning rate в бустинге делает шаги обучения грубыми и повышает риск переобучения или нестабильной сходимости. Часто лучше использовать меньший шаг и больше деревьев.,"Ну вот, большая learning rate в бустинге часто ведёт к переобучению, как бы. Я не уверен, но, ну вот, примерно так, наверное.",3
Что в компьютерном зрении даёт аспект «рецептивное поле свёртки»?,"Рецептивное поле показывает, какую область входного изображения видит конкретный нейрон на более глубоком слое. По мере роста сети модель начинает учитывать всё более крупные паттерны и контекст.","Ммм, рецептивное поле показывает, какую область входного изображения видит конкретный нейрон на более глубоком слое. Именно это важно на практике, ну там. В общем-то так.",4
Зачем в Kafka нужен элемент «партиции»?,Партиции в Kafka нужны для масштабирования темы по пропускной способности и параллельного чтения. При этом именно внутри одной партиции Kafka гарантирует упорядочивание сообщений.,Партиции в Kafka нужны для масштабирования темы по пропускной способности и параллельного чтения. Это и есть ключевой смысл.,4
В какой ситуации подход «масштабирование признаков для деревьев решений» даёт наибольший эффект для разных типов моделей?,"Для деревьев решений и ансамблей на их основе масштабирование обычно не критично, потому что разбиения зависят от порядка значений, а не от их абсолютного масштаба. Гораздо важнее оно для линейных и дистанционных методов.","Деревьям решений масштабирование обычно нужно меньше, чем линейным и дистанционным моделям.",3
